amber120,amber120_cmyk,3.23,3.79,49.27,0.00
amber150,amber150_cmyk,3.90,2.30,65.20,0.00
amber250,amber250_cmyk,4.05,10.99,67.33,0.08
lime550,lime550_cmyk,60.90,7.31,99.90,1.52
orange120,orange120_cmyk,1.30,9.20,21.90,0.00
orange150,orange150_cmyk,0.90,13.70,31.50,0.00
orange180,orange180_cmyk,0.59,14.54,29.42,0.00
orange220,orange220_cmyk,1.10,22.50,50.00,0.10
orange320,orange320_cmyk,1.10,37.90,59.20,0.00
orange330,orange330_cmyk,0.79,40.69,62.56,0.00
orange350,orange350_cmyk,1.10,40.50,71.00,0.00
orange480,orange480_cmyk,0.60,56.00,82.10,0.00
orange650,orange650_cmyk,11.55,80.83,97.73,4.63
orange750,orange750_cmyk,18.18,82.75,97.26,14.80
orange920,orange920_cmyk,36.33,83.42,86.92,59.92
red250,red250_cmyk,0.00,32.70,20.60,0.00
slovenia_green,slovenia_green_cmyk,47.76,3.27,98.97,0.20
yellow380,yellow380_cmyk,3.90,14.37,80.53,0.07
