red50,red50_cmyk,1.69,6.85,4.68,0.00
red100,red100_cmyk,1.60,13.90,9.30,0.00
red200,red200_cmyk,0.40,24.70,15.80,0.00
red300,red300_cmyk,0.00,43.60,27.80,0.00
red400,red400_cmyk,0.00,66.30,50.20,0.00
red500,red500_cmyk,0.19,83.11,68.64,0.00
red600,red600_cmyk,4.70,94.10,86.10,0.70
red700,red700_cmyk,14.70,96.00,90.30,12.10
red800,red800_cmyk,21.90,95.40,87.20,27.00
red900,red900_cmyk,26.60,93.10,81.50,41.50
red950,red950_cmyk,36.10,89.50,72.70,70.70

pink50,pink50_cmyk,3.10,5.40,2.90,0.00
pink100,pink100_cmyk,0.00,12.50,0.40,0.00
pink200,pink200_cmyk,0.00,26.30,0.00,0.00
pink300,pink300_cmyk,1.00,45.40,0.00,0.00
pink400,pink400_cmyk,0.00,70.00,0.00,0.00
pink500,pink500_cmyk,1.80,79.60,1.80,0.00
pink600,pink600_cmyk,7.51,92.08,17.33,0.71
pink700,pink700_cmyk,19.28,96.48,35.09,7.52
pink800,pink800_cmyk,29.61,96.59,42.78,20.11
pink900,pink900_cmyk,36.53,95.80,45.10,32.20
pink950,pink950_cmyk,47.03,94.03,52.84,60.57

rose50,rose50_cmyk,1.60,7.68,4.72,0.00
rose100,rose100_cmyk,1.51,15.04,7.86,0.00
rose200,rose200_cmyk,1.00,25.00,12.00,0.00
rose300,rose300_cmyk,0.00,46.70,24.20,0.00
rose400,rose400_cmyk,0.40,66.60,33.60,0.00
rose500,rose500_cmyk,0.00,84.50,54.50,0.00
rose600,rose600_cmyk,4.22,94.89,59.85,0.01
rose700,rose700_cmyk,16.33,97.60,64.39,9.93
rose800,rose800_cmyk,25.59,97.50,60.96,22.12
rose900,rose900_cmyk,31.92,97.44,57.22,32.48
rose950,rose950_cmyk,44.77,92.88,60.71,64.81

orange50,orange50_cmyk,1.5,2.3,9.2,0
orange400,orange400_cmyk,0.8,46.5,83.3,0
orange700,orange700_cmyk,14.91,81.65,97.27,9.46
orange900,orange900_cmyk,16.30,83.10,89.80,45.70
yellow300,yellow300_cmyk,3.15,8.27,78.98,0.00

red250,red250_cmyk,0.0,32.7,20.6,0.0
slovenia_green,slovenia_green_cmyk,47.8,3.3,99.0,0.2
