orange50,orange50_cmyk,1.50,2.30,9.20,0.00
orange100,orange100_cmyk,0.00,9.20,21.10,0.00
orange200,orange200_cmyk,1.70,18.10,38.10,0.00
orange300,orange300_cmyk,0.90,32.30,60.50,0.00
orange400,orange400_cmyk,0.80,46.50,83.30,0.00
orange500,orange500_cmyk,0.50,60.50,93.70,0.00
orange600,orange600_cmyk,2.49,74.83,96.08,0.13
orange700,orange700_cmyk,14.91,81.65,97.27,9.46
orange800,orange800_cmyk,22.10,84.10,94.60,27.30
orange900,orange900_cmyk,16.30,83.10,89.80,45.70
orange950,orange950_cmyk,26.40,84.20,77.90,72.10
